name,capital,population
China,Beijing,1330044000
India,New Delhi,1173108018
United States,Washington,310232863
Indonesia,Jakarta,242968342
Brazil,Brasília,201103330
Pakistan,Islamabad,184404791
Bangladesh,Dhaka,156118464
Nigeria,Abuja,154000000
Russia,Moscow,140702000
Japan,Tokyo,127288000
Mexico,Mexico City,112468855
Philippines,Manila,99900177
Vietnam,Hanoi,89571130
Ethiopia,Addis Ababa,88013491
Germany,Berlin,81802257
Egypt,Cairo,80471869
Turkey,Ankara,77804122
Iran,Tehran,76923300
Democratic Republic of the Congo,Kinshasa,70916439
Thailand,Bangkok,67089500
France,Paris,64768389
United Kingdom,London,62348447
Italy,Rome,60340328
Myanmar [Burma],Naypyitaw,53414374
South Africa,Pretoria,49000000
South Korea,Seoul,48422644
Colombia,Bogotá,47790000
Spain,Madrid,46505963
Ukraine,Kiev,45415596
Tanzania,Dodoma,41892895
Argentina,Buenos Aires,41343201
Kenya,Nairobi,40046566
Poland,Warsaw,38500000
Sudan,Khartoum,35000000
Algeria,Algiers,34586184
Morocco,Rabat,33848242
Canada,Ottawa,33679000
Uganda,Kampala,33398682
Peru,Lima,29907003
Iraq,Baghdad,29671605
Afghanistan,Kabul,29121286
Nepal,Kathmandu,28951852
Malaysia,Kuala Lumpur,28274729
Uzbekistan,Tashkent,27865738
Venezuela,Caracas,27223228
Saudi Arabia,Riyadh,25731776
Ghana,Accra,24339838
Yemen,Sanaa,23495361
North Korea,Pyongyang,22912177
Taiwan,Taipei,22894384
Syria,Damascus,22198110
Mozambique,Maputo,22061451
Romania,Bucharest,21959278
Australia,Canberra,21515754
Sri Lanka,Colombo,21513990
Madagascar,Antananarivo,21281844
Ivory Coast,Yamoussoukro,21058798
Cameroon,Yaoundé,19294149
Chile,Santiago,16746491
Netherlands,Amsterdam,16645000
Burkina Faso,Ouagadougou,16241811
Niger,Niamey,15878271
Malawi,Lilongwe,15447500
Kazakhstan,Astana,15340000
Ecuador,Quito,14790608
Cambodia,Phnom Penh,14453680
Mali,Bamako,13796354
Guatemala,Guatemala City,13550440
Zambia,Lusaka,13460305
Angola,Luanda,13068161
Zimbabwe,Harare,13061000
Senegal,Dakar,12323252
Cuba,Havana,11423000
Rwanda,Kigali,11055976
Greece,Athens,11000000
Portugal,Lisbon,10676000
Tunisia,Tunis,10589025
Chad,N'Djamena,10543464
